N,종목명,현재가,전일비,등락률,액면가,매수호가
73.0,맥쿼리인프라,11000.0,상승  10,+0.09%,0.0,10990.0
74.0,두산,318000.0,"하락  1,000",-0.31%,5000.0,318000.0
75.0,TIGER CD금리투자KIS(합성),55840.0,상승  10,+0.02%,0.0,55835.0
76.0,한국타이어앤테크놀로지,41700.0,상승  300,+0.72%,500.0,41650.0
77.0,LG생활건강,326500.0,"상승  2,000",+0.62%,5000.0,326500.0
78.0,LG씨엔에스,52200.0,하락  200,-0.38%,500.0,52200.0
79.0,삼성카드,43250.0,"하락  1,000",-2.26%,5000.0,43250.0
80.0,두산밥캣,51700.0,"상승  1,700",+3.40%,500.0,51700.0
81.0,NH투자증권,14850.0,하락  190,-1.26%,5000.0,14850.0
82.0,오리온,121900.0,"상승  2,500",+2.09%,500.0,121400.0
83.0,에코프로머티,68600.0,"하락  3,300",-4.59%,500.0,68500.0
84.0,LG유플러스,10750.0,하락  70,-0.65%,5000.0,10750.0
85.0,LG디스플레이,9360.0,상승  130,+1.41%,5000.0,9360.0
86.0,SKC,121100.0,"하락  1,200",-0.98%,5000.0,121100.0
87.0,TIGER 미국나스닥100,128090.0,하락  860,-0.67%,0.0,128085.0
88.0,카카오페이,32050.0,상승  50,+0.16%,500.0,32050.0
89.0,HD현대미포,106800.0,"상승  1,600",+1.52%,5000.0,106800.0
90.0,한국금융지주,76300.0,하락  300,-0.39%,5000.0,76200.0
91.0,효성중공업,451000.0,"하락  12,000",-2.59%,5000.0,451000.0
92.0,포스코DX,27600.0,상승  200,+0.73%,500.0,27600.0
93.0,삼성증권,46450.0,상승  200,+0.43%,5000.0,46450.0
94.0,CJ제일제당,268500.0,"상승  3,000",+1.13%,5000.0,268500.0
95.0,삼성E&A,20500.0,상승  250,+1.23%,5000.0,20450.0
96.0,KODEX KOFR금리액티브(합성),109820.0,상승  25,+0.02%,0.0,109820.0
97.0,KODEX 미국S&P500,18945.0,하락  95,-0.50%,0.0,18940.0
98.0,LG이노텍,163200.0,"상승  1,600",+0.99%,5000.0,163000.0
99.0,현대제철,28800.0,하락  500,-1.71%,5000.0,28750.0
100.0,현대건설,34200.0,상승  250,+0.74%,5000.0,34150.0
101.0,LS,116500.0,"하락  6,800",-5.52%,5000.0,116400.0
102.0,CJ,128100.0,"상승  1,600",+1.26%,5000.0,127700.0
103.0,두산로보틱스,56300.0,"하락  3,900",-6.48%,500.0,56300.0
104.0,강원랜드,16940.0,하락  50,-0.29%,500.0,16940.0
105.0,현대오토에버,131900.0,상승  300,+0.23%,500.0,131700.0
106.0,현대차우,150400.0,하락  900,-0.59%,5000.0,150400.0
107.0,엔씨소프트,163300.0,상승  600,+0.37%,500.0,162700.0
108.0,넷마블,40900.0,상승  900,+2.25%,100.0,40850.0
109.0,GS,37450.0,상승  300,+0.81%,5000.0,37450.0
110.0,한국가스공사,37550.0,"상승  1,150",+3.16%,5000.0,37550.0
111.0,JB금융지주,17820.0,상승  440,+2.53%,5000.0,17820.0
112.0,BNK금융지주,10830.0,하락  170,-1.55%,5000.0,10830.0
113.0,시프트업,58700.0,"하락  1,500",-2.49%,200.0,58700.0
114.0,한화솔루션,19880.0,"하락  1,220",-5.78%,5000.0,19880.0
115.0,키움증권,132400.0,"상승  3,000",+2.32%,5000.0,132400.0
116.0,SK바이오사이언스,42450.0,상승  100,+0.24%,500.0,42400.0
117.0,금호석유,115700.0,"상승  1,400",+1.22%,5000.0,115700.0
118.0,KODEX 종합채권(AA-이상)액티브,118120.0,하락  115,-0.10%,0.0,118115.0
119.0,TIGER KOFR금리액티브(합성),108325.0,상승  15,+0.01%,0.0,108325.0
120.0,한화,41550.0,"하락  5,950",-12.53%,5000.0,41550.0
121.0,한미약품,241500.0,하락  500,-0.21%,2500.0,241000.0
122.0,TIGER 미국테크TOP10 INDXX,21890.0,하락  215,-0.97%,0.0,21885.0
123.0,롯데케미칼,69300.0,하락  900,-1.28%,5000.0,69200.0
124.0,한온시스템,3995.0,상승  40,+1.01%,100.0,3990.0
125.0,한화비전,53700.0,"하락  2,400",-4.28%,500.0,53600.0
126.0,동서,26700.0,하락  300,-1.11%,500.0,26700.0
127.0,농심,428000.0,"상승  1,500",+0.35%,5000.0,427500.0
128.0,엘앤에프,71300.0,"하락  1,900",-2.60%,500.0,71200.0
129.0,RISE 머니마켓액티브,53905.0,상승  5,+0.01%,0.0,53905.0
130.0,F&F,66600.0,상승  100,+0.15%,100.0,66500.0
131.0,에이피알,67800.0,하락  900,-1.31%,100.0,67800.0
132.0,이수페타시스,39800.0,하락  300,-0.75%,1000.0,39800.0
133.0,KCC,274500.0,상승  500,+0.18%,5000.0,274500.0
134.0,롯데지주,23250.0,상승  150,+0.65%,200.0,23200.0
135.0,KODEX 200TR,12620.0,상승  60,+0.48%,0.0,12610.0
136.0,SK가스,261500.0,"상승  2,500",+0.97%,5000.0,261500.0
137.0,서울보증보험,34150.0,하락  450,-1.30%,2500.0,34150.0
138.0,휠라홀딩스,39400.0,하락  100,-0.25%,1000.0,39400.0
