N,종목명,현재가,전일비,등락률,액면가,매수호가
359.0,제주항공,7050.0,보합0,0.00%,1000.0,7050.0
360.0,KODEX 미국빅테크10(H),42235.0,하락  740,-1.72%,0.0,42200.0
361.0,유안타증권,2845.0,상승  25,+0.89%,5000.0,2840.0
362.0,삼성 레버리지 WTI원유 선물 ETN,1401.0,상승  41,+3.01%,0.0,1401.0
363.0,아세아,268000.0,"상승  2,500",+0.94%,5000.0,267000.0
364.0,롯데손해보험,1812.0,상승  31,+1.74%,1000.0,1811.0
365.0,KODEX 인버스,4290.0,하락  25,-0.58%,0.0,4290.0
366.0,TIGER 미국달러SOFR금리액티브(합성),60020.0,상승  165,+0.28%,0.0,60010.0
367.0,TIGER 200 IT,28640.0,상승  410,+1.45%,0.0,28565.0
368.0,후성,5080.0,하락  20,-0.39%,500.0,5080.0
369.0,키움 CD금리투자 ETN,103210.0,상승  15,+0.01%,0.0,103205.0
370.0,삼양홀딩스,62800.0,"상승  2,100",+3.46%,5000.0,62200.0
371.0,대한해운,1668.0,하락  16,-0.95%,500.0,1668.0
372.0,화승엔터프라이즈,8800.0,상승  80,+0.92%,500.0,8780.0
373.0,PLUS K방산,33125.0,"하락  1,435",-4.15%,0.0,33120.0
374.0,넥센타이어,5440.0,하락  10,-0.18%,500.0,5440.0
375.0,PI첨단소재,18000.0,하락  230,-1.26%,500.0,18000.0
376.0,SNT홀딩스,32150.0,상승  350,+1.10%,500.0,32100.0
377.0,OCI,58300.0,"하락  1,900",-3.16%,5000.0,58300.0
378.0,일진하이솔루스,14370.0,하락  10,-0.07%,500.0,14370.0
379.0,유니드,76800.0,"하락  2,200",-2.78%,5000.0,76800.0
380.0,TIGER 단기채권액티브,55430.0,하락  5,-0.01%,0.0,55425.0
381.0,KB KIS CD금리투자 ETN,51750.0,보합0,0.00%,0.0,51755.0
382.0,제이알글로벌리츠,2620.0,하락  60,-2.24%,1000.0,2620.0
383.0,비에이치,14960.0,하락  100,-0.66%,500.0,14960.0
384.0,해성디에스,30050.0,상승  200,+0.67%,5000.0,30000.0
385.0,JW중외제약,21900.0,보합0,0.00%,2500.0,21850.0
386.0,KCC글라스,31750.0,하락  500,-1.55%,1000.0,31700.0
387.0,아이에스동서,16780.0,하락  300,-1.76%,500.0,16780.0
388.0,LX홀딩스,6600.0,하락  20,-0.30%,1000.0,6600.0
389.0,KODEX 국고채30년액티브,124210.0,하락  220,-0.18%,0.0,124140.0
390.0,진에어,9560.0,상승  10,+0.10%,1000.0,9560.0
391.0,TIGER 2차전지소재Fn,4195.0,하락  45,-1.06%,0.0,4195.0
392.0,티웨이항공,2305.0,하락  10,-0.43%,500.0,2305.0
393.0,바이오노트,4850.0,하락  50,-1.02%,500.0,4850.0
394.0,KODEX 국고채3년,62140.0,하락  15,-0.02%,0.0,62125.0
395.0,퍼시스,42600.0,하락  150,-0.35%,1000.0,42500.0
396.0,F&F홀딩스,12500.0,하락  80,-0.64%,500.0,12500.0
397.0,쏘카,14860.0,하락  260,-1.72%,100.0,14860.0
398.0,드림텍,7070.0,상승  30,+0.43%,100.0,7060.0
399.0,한세실업,12070.0,하락  40,-0.33%,500.0,12070.0
400.0,동국제강,9720.0,하락  30,-0.31%,5000.0,9720.0
401.0,쿠쿠홈시스,21350.0,보합0,0.00%,100.0,21300.0
402.0,한화손해보험,4100.0,하락  85,-2.03%,5000.0,4100.0
403.0,1Q 머니마켓액티브,51930.0,보합0,0.00%,0.0,51930.0
404.0,TIGER 투자등급회사채액티브,115945.0,하락  55,-0.05%,0.0,115940.0
405.0,KODEX 코스피,27325.0,상승  90,+0.33%,0.0,27275.0
406.0,삼양사,46150.0,하락  450,-0.97%,5000.0,46150.0
407.0,KIWOOM 국고채10년,115620.0,하락  260,-0.22%,0.0,115615.0
408.0,현대그린푸드,14320.0,하락  60,-0.42%,500.0,14320.0
409.0,고려제강,17510.0,하락  290,-1.63%,1000.0,17510.0
410.0,SK이터닉스,13950.0,하락  610,-4.19%,200.0,13940.0
411.0,KODEX 자동차,19030.0,상승  145,+0.77%,0.0,19005.0
412.0,명신산업,8860.0,하락  70,-0.78%,500.0,8860.0
413.0,남양유업,71900.0,상승  900,+1.27%,500.0,71800.0
414.0,SPC삼립,53200.0,하락  200,-0.37%,5000.0,53100.0
415.0,ACE 200,36435.0,상승  180,+0.50%,0.0,36430.0
416.0,LF,15500.0,상승  40,+0.26%,5000.0,15440.0
417.0,신한 레버리지 WTI원유 선물 ETN(H),906.0,상승  23,+2.60%,0.0,906.0
418.0,KODEX 미국S&P500(H),13085.0,하락  110,-0.83%,0.0,13080.0
419.0,KODEX 인도Nifty50,13605.0,상승  215,+1.61%,0.0,13605.0
420.0,KODEX 미국AI전력핵심인프라,11430.0,하락  160,-1.38%,0.0,11425.0
421.0,TIGER 미국테크TOP10타겟커버드콜,12485.0,하락  125,-0.99%,0.0,12480.0
422.0,DS단석,25000.0,하락  300,-1.19%,500.0,25000.0
423.0,코람코라이프인프라리츠,4500.0,상승  5,+0.11%,500.0,4480.0
424.0,엠씨넥스,24250.0,하락  400,-1.62%,500.0,24200.0
425.0,KODEX 미국반도체,22845.0,하락  175,-0.76%,0.0,22840.0
426.0,한일홀딩스,14000.0,하락  60,-0.43%,1000.0,14000.0
427.0,더본코리아,29200.0,상승  100,+0.34%,500.0,29200.0
428.0,E1,62500.0,하락  900,-1.42%,5000.0,62500.0
429.0,RISE 단기통안채,114595.0,상승  5,0.00%,0.0,114585.0
430.0,동아에스티,46500.0,상승  250,+0.54%,5000.0,46300.0
431.0,NICE,11480.0,하락  70,-0.61%,500.0,11470.0
432.0,지누스,19140.0,하락  250,-1.29%,500.0,19140.0
433.0,PLUS 머니마켓액티브,51905.0,상승  5,+0.01%,0.0,51900.0
434.0,세진중공업,7460.0,하락  100,-1.32%,500.0,7460.0
435.0,신풍제약,8000.0,하락  20,-0.25%,500.0,7990.0
436.0,디아이,14940.0,하락  370,-2.42%,500.0,14940.0
437.0,삼아알미늄,28600.0,하락  750,-2.56%,500.0,28600.0
438.0,넥스틸,16150.0,하락  580,-3.47%,500.0,16140.0
439.0,대신증권우,16120.0,하락  20,-0.12%,5000.0,16110.0
440.0,CJ4우(전환),98800.0,"상승  1,800",+1.86%,5000.0,97500.0
441.0,TIMEFOLIO 글로벌AI인공지능액티브,23220.0,하락  340,-1.44%,0.0,23200.0
442.0,RISE KIS국고채30년Enhanced,84720.0,하락  120,-0.14%,0.0,84720.0
443.0,삼성FN리츠,4560.0,하락  30,-0.65%,500.0,4560.0
444.0,풍산홀딩스,28750.0,상승  150,+0.52%,5000.0,28700.0
445.0,한국쉘석유,316500.0,"상승  6,000",+1.93%,5000.0,316000.0
446.0,대상홀딩스,11360.0,하락  10,-0.09%,1000.0,11360.0
447.0,KODEX 미국달러SOFR금리액티브(합성),12420.0,상승  35,+0.28%,0.0,12420.0
448.0,TIGER 테슬라채권혼합Fn,12360.0,하락  110,-0.88%,0.0,12360.0
449.0,HANARO 200,35960.0,상승  175,+0.49%,0.0,35955.0
450.0,맵스리얼티1,4250.0,하락  25,-0.58%,0.0,4240.0
451.0,KODEX 미국30년국채액티브(H),9425.0,하락  40,-0.42%,0.0,9420.0
452.0,흥아해운,1627.0,하락  14,-0.85%,500.0,1627.0
453.0,KB스타리츠,3855.0,보합0,0.00%,500.0,3850.0
454.0,삼성 레버리지 천연가스 선물 ETN C,7785.0,"하락  1,260",-13.93%,0.0,7780.0
455.0,PLUS 종합채권(AA-이상)액티브,115190.0,하락  135,-0.12%,0.0,115105.0
456.0,신도리코,38400.0,상승  100,+0.26%,5000.0,38350.0
457.0,아세아시멘트,10200.0,하락  10,-0.10%,500.0,10200.0
458.0,TIGER 미국나스닥100커버드콜(합성),10765.0,하락  70,-0.65%,0.0,10760.0
459.0,RISE 미국30년국채엔화노출(합성 H),9100.0,하락  80,-0.87%,0.0,9100.0
460.0,대한제강,16200.0,상승  170,+1.06%,1000.0,16200.0
461.0,TIGER 미국필라델피아AI반도체나스닥,9815.0,하락  90,-0.91%,0.0,9810.0
462.0,세아홀딩스,94500.0,상승  300,+0.32%,5000.0,94500.0
463.0,애경산업,14160.0,하락  350,-2.41%,1000.0,14150.0
464.0,사조대림,40800.0,하락  400,-0.97%,5000.0,40800.0
465.0,GS피앤엘,18760.0,하락  800,-4.09%,1000.0,18760.0
466.0,신세계인터내셔날,10400.0,상승  190,+1.86%,1000.0,10390.0
467.0,KIWOOM 종합채권(AA-이상)액티브,108795.0,하락  90,-0.08%,0.0,108760.0
468.0,아모레퍼시픽우,34750.0,상승  200,+0.58%,500.0,34750.0
469.0,KODEX 선진국MSCI World,31090.0,하락  35,-0.11%,0.0,31085.0
470.0,KIWOOM 200,35925.0,상승  195,+0.55%,0.0,35905.0
471.0,영진약품,1980.0,하락  15,-0.75%,500.0,1980.0
472.0,삼천리,89300.0,하락  300,-0.33%,5000.0,89300.0
473.0,HL홀딩스,38250.0,상승  600,+1.59%,5000.0,37500.0
474.0,현대차3우B,150300.0,하락  400,-0.27%,5000.0,150300.0
475.0,SBS,19280.0,하락  210,-1.08%,5000.0,19220.0
476.0,KODEX 국고채10년액티브,113555.0,하락  180,-0.16%,0.0,113535.0
477.0,현대차증권,5760.0,하락  30,-0.52%,5000.0,5760.0
478.0,한섬,15800.0,상승  30,+0.19%,500.0,15730.0
479.0,이아이디,1392.0,보합0,0.00%,200.0,0.0
480.0,ACE 국고채10년,90925.0,하락  160,-0.18%,0.0,90920.0
481.0,한전산업,10660.0,상승  370,+3.60%,500.0,10660.0
482.0,TIGER 미국S&P500TR(H),13590.0,하락  110,-0.80%,0.0,13585.0
483.0,조광피혁,52200.0,상승  400,+0.77%,5000.0,52200.0
484.0,KODEX 미국AI테크TOP10타겟커버드콜,9980.0,하락  60,-0.60%,0.0,9975.0
485.0,서연이화,12780.0,하락  190,-1.46%,500.0,12780.0
486.0,애경케미칼,7100.0,하락  190,-2.61%,500.0,7100.0
487.0,TIGER CD금리플러스액티브(합성),1002160.0,상승  85,+0.01%,0.0,1002155.0
488.0,ACE 미국S&P500채권혼합액티브,13065.0,상승  15,+0.11%,0.0,13060.0
489.0,한화3우B,17630.0,"하락  1,870",-9.59%,5000.0,17620.0
490.0,KODEX 200타겟위클리커버드콜,9935.0,상승  35,+0.35%,0.0,9935.0
491.0,휴스틸,6000.0,하락  50,-0.83%,1000.0,5990.0
492.0,KODEX 은행,8685.0,상승  5,+0.06%,0.0,8680.0
493.0,RISE 200위클리커버드콜,8505.0,상승  40,+0.47%,0.0,8500.0
494.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,25610.0,상승  275,+1.09%,0.0,25605.0
495.0,현대퓨처넷,3040.0,하락  100,-3.18%,500.0,3040.0
496.0,KODEX 26-12 회사채(AA-이상)액티브,10685.0,하락  5,-0.05%,0.0,10685.0
497.0,TIGER 2차전지TOP10,8405.0,하락  110,-1.29%,0.0,8400.0
498.0,KODEX 미국나스닥100(H),15350.0,하락  155,-1.00%,0.0,15345.0
499.0,TIGER 은행고배당플러스TOP10,14325.0,하락  35,-0.24%,0.0,14325.0
500.0,BGF,3460.0,상승  15,+0.44%,1000.0,3455.0
501.0,한국금융지주우,56400.0,하락  400,-0.70%,5000.0,56400.0
502.0,SGC에너지,22700.0,하락  250,-1.09%,5000.0,22700.0
503.0,코오롱,25800.0,상승  750,+2.99%,5000.0,25800.0
504.0,스틱인베스트먼트,7790.0,상승  350,+4.70%,500.0,7780.0
505.0,유나이티드제약,19740.0,상승  300,+1.54%,500.0,19740.0
506.0,한투 KIS CD금리투자 ETN,53610.0,보합0,0.00%,0.0,53615.0
507.0,백산,15080.0,상승  240,+1.62%,500.0,15060.0
508.0,1Q CD금리액티브(합성),101635.0,상승  15,+0.01%,0.0,101630.0
509.0,부광약품,4655.0,하락  5,-0.11%,500.0,4650.0
510.0,콜마홀딩스,9210.0,하락  290,-3.05%,500.0,9210.0
511.0,KODEX ESG종합채권(A-이상)액티브,114460.0,상승  35,+0.03%,0.0,114200.0
512.0,TIGER 미국S&P500타겟데일리커버드콜,10670.0,하락  50,-0.47%,0.0,10665.0
513.0,남해화학,6330.0,하락  70,-1.09%,1000.0,6320.0
514.0,YG PLUS,4950.0,보합0,0.00%,500.0,4950.0
515.0,송원산업,13070.0,상승  200,+1.55%,500.0,13070.0
516.0,대원제약,13970.0,하락  30,-0.21%,500.0,13970.0
517.0,신성통상,2160.0,하락  20,-0.92%,500.0,2160.0
518.0,아세아제지,7250.0,보합0,0.00%,1000.0,7250.0
519.0,LS네트웍스,3935.0,하락  75,-1.87%,5000.0,3935.0
520.0,농심홀딩스,66800.0,하락  400,-0.60%,5000.0,66800.0
521.0,일동제약,11020.0,하락  70,-0.63%,1000.0,11020.0
522.0,RISE KOFR금리액티브(합성),103065.0,상승  25,+0.02%,0.0,103060.0
523.0,현대코퍼레이션,23300.0,하락  450,-1.89%,5000.0,23300.0
524.0,한국자산신탁,2480.0,하락  5,-0.20%,500.0,2480.0
525.0,백광산업,6840.0,하락  20,-0.29%,500.0,6840.0
526.0,엘브이엠씨홀딩스,1788.0,상승  43,+2.46%,0.0,1788.0
527.0,KODEX 미국배당커버드콜액티브,11760.0,하락  15,-0.13%,0.0,11760.0
528.0,KODEX 미국배당다우존스,11125.0,하락  25,-0.22%,0.0,11120.0
529.0,삼화콘덴서,28600.0,상승  850,+3.06%,1000.0,28050.0
530.0,롯데이노베이트,19650.0,상승  10,+0.05%,5000.0,19620.0
531.0,자화전자,13340.0,하락  30,-0.22%,500.0,13300.0
532.0,KODEX 미국30년국채울트라선물(H),7830.0,하락  20,-0.25%,0.0,7825.0
533.0,교촌에프앤비,5900.0,하락  110,-1.83%,500.0,5900.0
534.0,한진,19720.0,상승  220,+1.13%,5000.0,19720.0
535.0,한국철강,8060.0,하락  90,-1.10%,1000.0,8050.0
536.0,코리아써키트,12430.0,상승  180,+1.47%,500.0,12430.0
537.0,SOL 미국AI소프트웨어,12590.0,하락  65,-0.51%,0.0,12580.0
538.0,디앤디플랫폼리츠,3300.0,하락  15,-0.45%,1000.0,3280.0
539.0,수산인더스트리,20250.0,상승  200,+1.00%,200.0,20250.0
540.0,미래에셋 레버리지 원유선물혼합 ETN(H),7055.0,상승  180,+2.62%,0.0,7050.0
541.0,광동제약,5500.0,하락  20,-0.36%,1000.0,5500.0
542.0,KIWOOM 머니마켓액티브,52050.0,상승  5,+0.01%,0.0,52045.0
543.0,대동,11150.0,하락  280,-2.45%,1000.0,11150.0
544.0,화승인더,5140.0,상승  10,+0.19%,500.0,5110.0
545.0,KISCO홀딩스,19740.0,상승  30,+0.15%,1000.0,19720.0
546.0,예스코홀딩스,46600.0,상승  100,+0.22%,5000.0,46550.0
547.0,부국증권,26950.0,하락  100,-0.37%,5000.0,26950.0
548.0,ACE CD금리&초단기채권액티브,102675.0,상승  20,+0.02%,0.0,102670.0
549.0,한일현대시멘트,14370.0,하락  20,-0.14%,5000.0,14310.0
550.0,DB,1379.0,상승  23,+1.70%,500.0,1379.0
551.0,SOL AI반도체소부장,11845.0,상승  95,+0.81%,0.0,11835.0
552.0,신대양제지,6850.0,하락  300,-4.20%,500.0,6850.0
553.0,HD현대에너지솔루션,24550.0,하락  550,-2.19%,5000.0,24550.0
554.0,포스코스틸리온,45700.0,"하락  1,800",-3.79%,5000.0,45700.0
555.0,이리츠코크렙,4320.0,상승  30,+0.70%,500.0,4320.0
556.0,TIGER 글로벌자율주행&전기차SOLACTIVE,11070.0,하락  200,-1.77%,0.0,11060.0
557.0,삼성 인버스 2X 코스닥150 선물 ETN,6795.0,상승  230,+3.50%,0.0,6790.0
558.0,화신,7750.0,하락  50,-0.64%,500.0,7740.0
559.0,KODEX 미국달러선물인버스2X,5100.0,하락  35,-0.68%,0.0,5100.0
560.0,LG생활건강우,128200.0,"상승  2,700",+2.15%,5000.0,128200.0
561.0,LX하우시스,30000.0,하락  700,-2.28%,5000.0,30000.0
562.0,TIGER 27-04회사채(A+이상)액티브,52665.0,상승  5,+0.01%,0.0,52655.0
563.0,KODEX 테슬라커버드콜채권혼합액티브,8595.0,하락  30,-0.35%,0.0,8595.0
564.0,국도화학,29750.0,하락  800,-2.62%,5000.0,29750.0
565.0,삼일제약,12220.0,하락  370,-2.94%,500.0,12220.0
566.0,대한제당,2940.0,상승  55,+1.91%,500.0,2930.0
567.0,아이마켓코리아,7880.0,상승  10,+0.13%,500.0,7880.0
568.0,KG케미칼,3800.0,하락  70,-1.81%,1000.0,3800.0
569.0,TIMEFOLIO 미국나스닥100액티브,22940.0,하락  220,-0.95%,0.0,22940.0
570.0,한농화성,16580.0,하락  810,-4.66%,500.0,16580.0
571.0,모토닉,9220.0,보합0,0.00%,500.0,9210.0
572.0,SIMPAC,3950.0,하락  45,-1.13%,500.0,3950.0
573.0,SOL 미국배당미국채혼합50,10660.0,하락  15,-0.14%,0.0,10655.0
574.0,RISE 글로벌자산배분액티브,13135.0,하락  60,-0.45%,0.0,13135.0
575.0,KODEX 코스닥150선물인버스,3940.0,상승  65,+1.68%,0.0,3935.0
576.0,신성이엔지,1238.0,하락  11,-0.88%,500.0,1235.0
577.0,TIGER 미국테크TOP10 INDXX(H),13100.0,하락  175,-1.32%,0.0,13090.0
578.0,에어부산,2160.0,하락  10,-0.46%,1000.0,2155.0
579.0,유진투자증권,2600.0,상승  30,+1.17%,5000.0,2600.0
580.0,KODEX 골드선물(H),18230.0,하락  115,-0.63%,0.0,18230.0
581.0,NH투자증권우,13290.0,하락  10,-0.08%,5000.0,13290.0
582.0,제주은행,7800.0,상승  50,+0.65%,5000.0,7800.0
583.0,한국토지신탁,992.0,하락  8,-0.80%,1000.0,991.0
584.0,DB금융투자,5900.0,하락  30,-0.51%,5000.0,5890.0
585.0,삼성 인버스 2X 천연가스 선물 ETN C,20805.0,"상승  2,565",+14.06%,0.0,20805.0
586.0,삼영무역,13500.0,보합0,0.00%,500.0,13500.0
587.0,TIGER 반도체,36250.0,상승  660,+1.85%,0.0,36135.0
588.0,CR홀딩스,5250.0,하락  50,-0.94%,500.0,5240.0
589.0,삼진제약,17690.0,하락  110,-0.62%,1000.0,17690.0
590.0,삼화전기,37150.0,상승  50,+0.13%,1000.0,37100.0
591.0,서울가스,49050.0,상승  50,+0.10%,5000.0,49000.0
592.0,TIGER 중장기국채,52240.0,하락  50,-0.10%,0.0,52230.0
593.0,RISE 비메모리반도체액티브,10865.0,상승  210,+1.97%,0.0,10845.0
594.0,동국홀딩스,7650.0,하락  60,-0.78%,5000.0,7650.0
595.0,케이씨,18360.0,하락  210,-1.13%,500.0,18350.0
596.0,잇츠한불,11070.0,하락  110,-0.98%,500.0,11070.0
597.0,GS글로벌,2935.0,상승  350,+13.54%,2500.0,2935.0
598.0,넥센,4515.0,보합0,0.00%,500.0,4515.0
599.0,ACE 베트남VN30(합성),22310.0,하락  40,-0.18%,0.0,22310.0
600.0,1Q 단기금융채액티브,106840.0,상승  15,+0.01%,0.0,106830.0
601.0,대덕,7100.0,하락  40,-0.56%,500.0,7090.0
602.0,SOL 미국배당다우존스(H),11270.0,하락  65,-0.57%,0.0,11265.0
603.0,제이에스코퍼레이션,17540.0,상승  110,+0.63%,100.0,17530.0
604.0,삼익THK,11370.0,상승  500,+4.60%,500.0,11360.0
605.0,TIGER 일본니케이225,21840.0,하락  325,-1.47%,0.0,21840.0
606.0,KPX홀딩스,56400.0,상승  500,+0.89%,5000.0,55600.0
607.0,에이프로젠,756.0,하락  21,-2.70%,500.0,755.0
608.0,KODEX 200액티브,10325.0,상승  60,+0.58%,0.0,10325.0
609.0,광주신세계,29550.0,보합0,0.00%,1000.0,29550.0
610.0,이지스밸류리츠,4520.0,상승  30,+0.67%,1000.0,4505.0
611.0,TIGER 헬스케어,36870.0,하락  935,-2.47%,0.0,36855.0
612.0,한화갤러리아,1195.0,하락  42,-3.40%,500.0,1194.0
613.0,KODEX 미국나스닥100데일리커버드콜OTM,9915.0,하락  5,-0.05%,0.0,9910.0
614.0,한국화장품제조,50500.0,상승  400,+0.80%,500.0,50500.0
615.0,TIGER 미국나스닥100TR(H),15820.0,하락  165,-1.03%,0.0,15820.0
616.0,SOL 미국30년국채커버드콜(합성),10020.0,상승  20,+0.20%,0.0,10015.0
617.0,KODEX 단기변동금리부채권액티브,113685.0,상승  10,+0.01%,0.0,113615.0
618.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),6535.0,하락  120,-1.80%,0.0,6520.0
619.0,코오롱ENP,5980.0,하락  40,-0.66%,1000.0,5980.0
620.0,TIGER 화장품,2915.0,상승  10,+0.34%,0.0,2915.0
621.0,KODEX 2차전지산업레버리지,1271.0,하락  24,-1.85%,0.0,1270.0
622.0,RISE 수소경제테마,10675.0,하락  345,-3.13%,0.0,10670.0
623.0,대원강업,3635.0,보합0,0.00%,500.0,3635.0
624.0,RISE 200TR,19830.0,상승  75,+0.38%,0.0,19830.0
625.0,세방,11650.0,하락  40,-0.34%,500.0,11630.0
626.0,KIWOOM 인도Nifty50(합성),24940.0,상승  455,+1.86%,0.0,24930.0
627.0,TIGER 조선TOP10,15390.0,상승  20,+0.13%,0.0,15390.0
628.0,JW홀딩스,3015.0,보합0,0.00%,500.0,3005.0
629.0,HANARO Fn K-반도체,10730.0,상승  180,+1.71%,0.0,10710.0
630.0,TIGER 글로벌AI액티브,15885.0,하락  305,-1.88%,0.0,15880.0
631.0,도화엔지니어링,6560.0,하락  60,-0.91%,500.0,6560.0
632.0,이연제약,11900.0,상승  210,+1.80%,500.0,11890.0
633.0,SK증권,465.0,하락  2,-0.43%,500.0,465.0
634.0,토니모리,9100.0,상승  60,+0.66%,200.0,9100.0
635.0,삼양패키징,14230.0,상승  70,+0.49%,5000.0,14210.0
636.0,대원전선,2905.0,하락  55,-1.86%,500.0,2905.0
637.0,HDC랩스,8370.0,하락  100,-1.18%,500.0,8370.0
638.0,스카이라이프,4560.0,상승  15,+0.33%,2500.0,4560.0
639.0,KODEX TRF3070,13625.0,하락  5,-0.04%,0.0,13620.0
640.0,주성코퍼레이션,4100.0,보합0,0.00%,500.0,0.0
641.0,종근당홀딩스,43200.0,하락  600,-1.37%,2500.0,43150.0
642.0,대한제분,127900.0,"하락  1,500",-1.16%,5000.0,127800.0
643.0,알루코,2225.0,하락  25,-1.11%,500.0,2225.0
644.0,대성에너지,7830.0,하락  20,-0.25%,1000.0,7820.0
645.0,SOL 200TR,13110.0,상승  70,+0.54%,0.0,13090.0
646.0,KPX케미칼,44150.0,하락  50,-0.11%,5000.0,44150.0
647.0,환인제약,11480.0,하락  60,-0.52%,500.0,11480.0
648.0,KODEX 25-11 회사채(A+이상)액티브,10800.0,보합0,0.00%,0.0,10795.0
649.0,RISE ESG사회책임투자,13250.0,상승  130,+0.99%,0.0,13250.0
650.0,동국씨엠,7090.0,하락  10,-0.14%,5000.0,7080.0
651.0,ACE 26-06 회사채(AA-이상)액티브,10980.0,하락  5,-0.05%,0.0,10980.0
652.0,KODEX 금융고배당TOP10타겟위클리커버드콜,9805.0,하락  15,-0.15%,0.0,9800.0
653.0,TYM,4645.0,하락  60,-1.28%,2500.0,4645.0
654.0,흥국화재,3230.0,하락  80,-2.42%,5000.0,3225.0
655.0,KODEX TDF2050액티브,14375.0,하락  60,-0.42%,0.0,14370.0
656.0,KODEX 한국부동산리츠인프라,4725.0,하락  25,-0.53%,0.0,4725.0
657.0,KODEX 장기종합채권(AA-이상)액티브,102845.0,하락  115,-0.11%,0.0,102815.0
658.0,ACE 미국나스닥100채권혼합액티브,13495.0,상승  15,+0.11%,0.0,13490.0
659.0,SOL 26-12 회사채(AA-이상)액티브,51230.0,보합0,0.00%,0.0,51225.0
660.0,일양약품,10740.0,하락  260,-2.36%,2500.0,10740.0
661.0,한솔제지,8610.0,하락  50,-0.58%,5000.0,8600.0
662.0,조일알미늄,1610.0,하락  6,-0.37%,500.0,1610.0
663.0,신한 인버스0.5X S&P500 VIX S/T선물 ETN,33915.0,상승  275,+0.82%,0.0,33915.0
664.0,일성아이에스,15230.0,하락  70,-0.46%,1000.0,15230.0
665.0,하이트진로홀딩스,8660.0,상승  20,+0.23%,5000.0,8650.0
666.0,TIGER 미국테크TOP10채권혼합,12175.0,하락  65,-0.53%,0.0,12170.0
667.0,코람코더원리츠,4950.0,상승  10,+0.20%,500.0,4930.0
668.0,삼영전자,9920.0,하락  30,-0.30%,500.0,9920.0
669.0,KSS해운,8560.0,하락  30,-0.35%,500.0,8560.0
670.0,KODEX 미국서학개미,15685.0,하락  220,-1.38%,0.0,15685.0
671.0,코오롱모빌리티그룹,3120.0,하락  125,-3.85%,500.0,3120.0
672.0,TIGER 차이나CSI300,10390.0,하락  165,-1.56%,0.0,10390.0
673.0,삼성SDI우,120000.0,"하락  5,400",-4.31%,5000.0,120000.0
674.0,현대비앤지스틸,12860.0,하락  70,-0.54%,5000.0,12860.0
675.0,서연,8220.0,하락  10,-0.12%,500.0,8220.0
676.0,무학,6760.0,하락  60,-0.88%,200.0,6750.0
677.0,TIGER 삼성그룹펀더멘털,11290.0,상승  60,+0.53%,0.0,11250.0
678.0,TIGER 미국투자등급회사채액티브(H),49105.0,하락  190,-0.39%,0.0,49105.0
679.0,ACE 미국달러SOFR금리(합성),12155.0,상승  35,+0.29%,0.0,12155.0
680.0,동양철관,1207.0,상승  1,+0.08%,500.0,1207.0
681.0,동성케미컬,3795.0,하락  20,-0.52%,1000.0,3795.0
682.0,노루홀딩스,14150.0,하락  10,-0.07%,500.0,14150.0
683.0,하나제약,10580.0,하락  20,-0.19%,500.0,10570.0
684.0,해태제과식품,6450.0,하락  40,-0.62%,500.0,6450.0
685.0,모나용평,3900.0,상승  25,+0.65%,5000.0,3895.0
686.0,신세계 I&C,12290.0,상승  140,+1.15%,500.0,12280.0
687.0,다올투자증권,3075.0,상승  205,+7.14%,5000.0,3050.0
688.0,KODEX 차이나항셍테크,9155.0,하락  340,-3.58%,0.0,9150.0
689.0,일신방직,8030.0,하락  70,-0.86%,500.0,8030.0
690.0,TIGER 미국필라델피아반도체레버리지(합성),20325.0,하락  420,-2.02%,0.0,20315.0
691.0,KODEX 27-12 회사채(AA-이상)액티브,10075.0,보합0,0.00%,0.0,10070.0
692.0,이월드,1287.0,하락  21,-1.61%,1000.0,1287.0
693.0,LG헬로비전,2355.0,상승  10,+0.43%,2500.0,2355.0
694.0,CJ제일제당 우,137100.0,하락  400,-0.29%,5000.0,137100.0
695.0,TIGER 26-04 회사채(A+이상)액티브,50635.0,상승  5,+0.01%,0.0,50630.0
696.0,무림P&P,2900.0,하락  10,-0.34%,2500.0,2900.0
697.0,대교,2135.0,보합0,0.00%,500.0,2115.0
698.0,TIGER 미국S&P500동일가중,10820.0,하락  40,-0.37%,0.0,10800.0
699.0,남선알미늄,1397.0,상승  9,+0.65%,500.0,1394.0
700.0,JW생명과학,11350.0,상승  50,+0.44%,2500.0,11310.0
701.0,경농,9200.0,하락  50,-0.54%,500.0,9190.0
702.0,일진홀딩스,3630.0,하락  20,-0.55%,1000.0,3630.0
703.0,삼성전기우,61600.0,하락  100,-0.16%,5000.0,61600.0
704.0,에이블씨엔씨,6880.0,하락  70,-1.01%,500.0,6870.0
705.0,TIGER 코스피,27515.0,상승  20,+0.07%,0.0,27515.0
706.0,경방,6480.0,하락  160,-2.41%,500.0,6480.0
707.0,신한서부티엔디리츠,3165.0,상승  50,+1.61%,1000.0,3160.0
708.0,성신양회,7220.0,하락  10,-0.14%,5000.0,7210.0
709.0,한미글로벌,16130.0,하락  270,-1.65%,500.0,16120.0
710.0,미창석유,101500.0,"상승  1,600",+1.60%,5000.0,100900.0
711.0,동아지질,13160.0,상승  20,+0.15%,500.0,13160.0
712.0,서흥,15230.0,상승  360,+2.42%,500.0,15200.0
